Region,Peak_Demand_MW,Peak_Met_MW,Difference_MW,Difference_percent,Date
Chandigarh,434,434,0,0.0,1/7/2024
Delhi,8181,8175,6,0.1,1/7/2024
Haryana,14662,14662,0,0.0,1/7/2024
Himachal,1888,1888,0,0.0,1/7/2024
Jammu,2635,2635,0,0.0,1/7/2024
Punjab,16006,16006,0,0.0,1/7/2024
Rajasthan,16371,16371,0,0.0,1/7/2024
Uttar,30298,30298,0,0.0,1/7/2024
Uttarakhand,2545,2545,0,0.0,1/7/2024
Northern Region (##),87468,87320,148,0.2,1/7/2024
Chhattisgarh,5944,5944,0,0.0,1/7/2024
Gujarat,19991,19991,0,0.0,1/7/2024
Madhya,12592,12592,0,0.0,1/7/2024
Maharashtra,24174,24174,0,0.0,1/7/2024
Dadra,1343,1343,0,0.0,1/7/2024
Goa,696,696,0,0.0,1/7/2024
Western Region (##),61998,61998,0,0.0,1/7/2024
andhra,11038,11020,18,0.2,1/7/2024
Telangana,13541,13541,0,0.0,1/7/2024
Karnataka,13820,13820,0,0.0,1/7/2024
Kerala,4167,4167,0,0.0,1/7/2024
Tamil,18307,18307,0,0.0,1/7/2024
Puducherry,500,497,3,0.6,1/7/2024
Lakshadweep (#),11,11,0,0.0,1/7/2024
Southern Region (##),56137,56134,3,0.0,1/7/2024
Bihar,7909,7879,30,0.4,1/7/2024
DVC,3574,3574,0,0.0,1/7/2024
Jharkhand,2351,2351,0,0.0,1/7/2024
Odisha,6443,6443,0,0.0,1/7/2024
Bengal,11805,11805,0,0.0,1/7/2024
Sikkim,94,94,0,0.0,1/7/2024
ani,64,56,8,12.5,1/7/2024
Eastern Region (##),31369,30622,747,2.4,1/7/2024
Arunanchal,186,186,0,0.0,1/7/2024
Assam,2524,2524,0,0.0,1/7/2024
Manipur,213,213,0,0.0,1/7/2024
Meghalaya,359,359,0,0.0,1/7/2024
Mizoram,130,130,0,0.0,1/7/2024
Nagaland,188,188,0,0.0,1/7/2024
Tripura,359,359,0,0.0,1/7/2024
North-Eastern Region (##),3764,3764,0,0.0,1/7/2024
All India,227479,226630,849,0.4,1/7/2024
Chandigarh,449,449,0,0.0,1/6/2024
Delhi,8656,8656,0,0.0,1/6/2024
Haryana,14469,14469,0,0.0,1/6/2024
Himachal,1919,1919,0,0.0,1/6/2024
Jammu,2902,2902,0,0.0,1/6/2024
Punjab,16058,16058,0,0.0,1/6/2024
Rajasthan,17774,17774,0,0.0,1/6/2024
Uttar,30618,30618,0,0.0,1/6/2024
Uttarakhand,2863,2863,0,0.0,1/6/2024
Northern Region (##),91592,90747,845,0.9,1/6/2024
Chhattisgarh,5438,5438,0,0.0,1/6/2024
Gujarat,25588,25588,0,0.0,1/6/2024
Madhya,13953,13953,0,0.0,1/6/2024
Maharashtra,28310,28310,0,0.0,1/6/2024
Dadra,1353,1353,0,0.0,1/6/2024
Goa,799,799,0,0.0,1/6/2024
Western Region (##),74933,74933,0,0.0,1/6/2024
andhra,12578,12578,0,0.0,1/6/2024
Telangana,11244,11244,0,0.0,1/6/2024
Karnataka,14357,14335,22,0.2,1/6/2024
Kerala,4383,4383,0,0.0,1/6/2024
Tamil,18501,18498,3,0.0,1/6/2024
Puducherry,527,527,0,0.0,1/6/2024
Lakshadweep (#),12,12,0,0.0,1/6/2024
Southern Region (##),59066,59053,13,0.0,1/6/2024
Bihar,7604,7601,3,0.0,1/6/2024
DVC,3482,3481,1,0.0,1/6/2024
Jharkhand,2289,2289,0,0.0,1/6/2024
Odisha,6905,6905,0,0.0,1/6/2024
Bengal,12187,12187,0,0.0,1/6/2024
Sikkim,99,99,0,0.0,1/6/2024
ani,63,61,2,3.2,1/6/2024
Eastern Region (##),31488,31399,89,0.3,1/6/2024
Arunanchal,170,170,0,0.0,1/6/2024
Assam,2392,2386,6,0.3,1/6/2024
Manipur,225,225,0,0.0,1/6/2024
Meghalaya,330,330,0,0.0,1/6/2024
Mizoram,126,126,0,0.0,1/6/2024
Nagaland,184,184,0,0.0,1/6/2024
Tripura,353,353,0,0.0,1/6/2024
North-Eastern Region (##),3579,3579,0,0.0,1/6/2024
All India,244529,244520,9,0.0,1/6/2024
Chandigarh,432,432,0,0.0,1/5/2024
Delhi,8302,8302,0,0.0,1/5/2024
Haryana,12451,12451,0,0.0,1/5/2024
Himachal,1827,1827,0,0.0,1/5/2024
Jammu,2878,2878,0,0.0,1/5/2024
Punjab,14366,14366,0,0.0,1/5/2024
Rajasthan,17567,17567,0,0.0,1/5/2024
Uttar,29727,29727,0,0.0,1/5/2024
Uttarakhand,2781,2781,0,0.0,1/5/2024
Northern Region (##),86305,86305,0,0.0,1/5/2024
Chhattisgarh,6073,6073,0,0.0,1/5/2024
Gujarat,24922,24922,0,0.0,1/5/2024
Madhya,14309,14309,0,0.0,1/5/2024
Maharashtra,28452,28452,0,0.0,1/5/2024
Dadra,1348,1348,0,0.0,1/5/2024
Goa,803,803,0,0.0,1/5/2024
Western Region (##),74829,74829,0,0.0,1/5/2024
andhra,13712,13712,0,0.0,1/5/2024
Telangana,11257,11257,0,0.0,1/5/2024
Karnataka,16826,16826,0,0.0,1/5/2024
Kerala,5797,5797,0,0.0,1/5/2024
Tamil,20784,20784,0,0.0,1/5/2024
Puducherry,549,549,0,0.0,1/5/2024
Lakshadweep (#),13,13,0,0.0,1/5/2024
Southern Region (##),66163,66163,0,0.0,1/5/2024
Bihar,7485,7466,19,0.3,1/5/2024
DVC,3409,3409,0,0.0,1/5/2024
Jharkhand,2295,2292,3,0.1,1/5/2024
Odisha,6867,6861,6,0.1,1/5/2024
Bengal,12192,12187,5,0.0,1/5/2024
Sikkim,104,104,0,0.0,1/5/2024
ani,70,64,6,8.6,1/5/2024
Eastern Region (##),31054,31051,3,0.0,1/5/2024
Arunanchal,198,198,0,0.0,1/5/2024
Assam,2405,2404,1,0.0,1/5/2024
Manipur,227,227,0,0.0,1/5/2024
Meghalaya,396,394,2,0.5,1/5/2024
Mizoram,130,130,0,0.0,1/5/2024
Nagaland,177,177,0,0.0,1/5/2024
Tripura,386,386,0,0.0,1/5/2024
North-Eastern Region (##),3652,3652,0,0.0,1/5/2024
All India,249856,249854,2,0.0,1/5/2024
Chandigarh,258,258,0,0.0,1/4/2024
Delhi,5447,5447,0,0.0,1/4/2024
Haryana,9502,9502,0,0.0,1/4/2024
Himachal,1819,1819,0,0.0,1/4/2024
Jammu,2924,2924,0,0.0,1/4/2024
Punjab,9914,9914,0,0.0,1/4/2024
Rajasthan,14283,14283,0,0.0,1/4/2024
Uttar,25462,25462,0,0.0,1/4/2024
Uttarakhand,2357,2357,0,0.0,1/4/2024
Northern Region (##),62884,62884,0,0.0,1/4/2024
Chhattisgarh,6367,6347,20,0.3,1/4/2024
Gujarat,23933,23916,17,0.1,1/4/2024
Madhya,13151,13151,0,0.0,1/4/2024
Maharashtra,28924,28924,0,0.0,1/4/2024
Dadra,1292,1292,0,0.0,1/4/2024
Goa,803,803,0,0.0,1/4/2024
Western Region (##),73511,73511,0,0.0,1/4/2024
andhra,13418,13418,0,0.0,1/4/2024
Telangana,13916,13884,32,0.2,1/4/2024
Karnataka,17015,16985,30,0.2,1/4/2024
Kerala,5904,5631,273,4.6,1/4/2024
Tamil,20326,20326,0,0.0,1/4/2024
Puducherry,530,530,0,0.0,1/4/2024
Lakshadweep (#),12,12,0,0.0,1/4/2024
Southern Region (##),67086,66986,100,0.1,1/4/2024
Bihar,6949,6949,0,0.0,1/4/2024
DVC,3288,3288,0,0.0,1/4/2024
Jharkhand,2133,2133,0,0.0,1/4/2024
Odisha,6609,6602,7,0.1,1/4/2024
Bengal,12645,12640,5,0.0,1/4/2024
Sikkim,111,111,0,0.0,1/4/2024
