state,date,population,gdp,peak_demand_mw,peak_production_mw,solar_production_mw,coal_production_mw,wind_production_mw,nuclear_production_mw,total_production_mw
andhra,31-01-2012,49459254.09,12.94,75265.6277,82076.89261,10487.01853,32941.68997,0.0,0.0,43428.7085
andhra,29-02-2012,49530069.18,12.98,59002.64637,64616.12932,3241.289746,35360.66579,0.0,0.0,38601.95553
andhra,31-03-2012,49574632.84,13.01,52127.37592,52726.43213,10066.54925,21792.40039,0.0,0.0,31858.94965
andhra,30-04-2012,49616834.0,13.05,40459.73642,43296.29233,8579.179357,20286.34619,0.0,0.0,28865.52555
andhra,31-05-2012,49697168.65,13.07,72909.81466,67326.79076,14449.44172,38506.09477,0.0,0.0,52955.53649
andhra,30-06-2012,49738810.08,13.1,49568.1007,49069.14428,6562.095421,23357.16469,0.0,0.0,29919.26011
andhra,31-07-2012,49790799.87,13.14,56108.21379,57291.46901,4158.912521,27283.33446,0.0,0.0,31442.24699
andhra,31-08-2012,49877176.47,13.17,72037.53722,65781.76978,9407.397519,33449.29716,0.0,0.0,42856.69468
andhra,30-09-2012,49991714.4,13.23,57614.22079,61778.78096,8784.856312,24493.01971,0.0,0.0,33277.87602
andhra,31-10-2012,50035679.96,13.27,71926.23808,68369.64344,13841.66168,40166.97969,0.0,0.0,54008.64138
andhra,30-11-2012,50109153.04,13.3,50362.59695,52492.30718,6088.370831,26848.45371,0.0,0.0,32936.82454
andhra,31-12-2012,50191486.26,13.33,59669.01454,58380.7699,3125.719178,30916.4926,0.0,0.0,34042.21178
andhra,31-01-2013,50294445.8,13.37,49155.91699,51368.08758,8397.207579,23035.37742,0.0,0.0,31432.585
andhra,28-02-2013,50366598.66,13.4,49403.96201,45977.00316,10522.74607,27184.65224,0.0,0.0,37707.39832
andhra,31-03-2013,50438301.85,13.43,45634.0954,50098.11867,11310.85185,24470.3157,0.0,0.0,35781.16755
andhra,30-04-2013,50555259.36,13.48,76500.83162,84140.53276,7749.845469,43509.13762,0.0,0.0,51258.98309
andhra,31-05-2013,50641288.72,13.51,42251.21157,42821.16252,3711.758269,23056.22329,0.0,0.0,26767.98156
andhra,30-06-2013,50756752.74,13.56,64797.09728,69960.26102,14360.11661,26737.21409,0.0,0.0,41097.3307
andhra,31-07-2013,50868294.17,13.6,79164.19108,75706.17408,11246.2214,36306.49712,0.0,0.0,47552.71852
andhra,31-08-2013,50958310.69,13.66,58405.04537,59048.97513,13434.01398,34942.29086,0.0,0.0,48376.30484
andhra,30-09-2013,51061065.25,13.69,75983.84267,80357.06209,5116.760001,30680.56899,0.0,0.0,35797.32899
andhra,31-10-2013,51104076.92,13.74,80912.74894,87660.93051,13622.04888,41667.06459,0.0,0.0,55289.11346
andhra,30-11-2013,51215579.06,13.78,70237.91866,73324.01193,17243.76222,38465.93395,0.0,0.0,55709.69617
andhra,31-12-2013,51336912.6,13.81,72043.23851,68164.24611,11074.14876,36676.90122,0.0,0.0,47751.04998
andhra,31-01-2014,51411209.69,13.84,69656.91169,72358.23104,4226.725415,36837.86422,0.0,0.0,41064.58963
andhra,28-02-2014,51510510.15,13.87,72880.05922,76141.7284,7261.309008,34658.56775,0.0,0.0,41919.87676
andhra,31-03-2014,51616014.49,13.91,63393.16413,60778.89291,5682.276528,30637.62054,0.0,0.0,36319.89707
andhra,30-04-2014,51677033.31,13.96,72930.21746,67647.19166,6553.968282,43671.70984,0.0,0.0,50225.67813
andhra,31-05-2014,51767278.36,14.0,68476.31016,66431.56962,6995.056154,31441.98591,0.0,0.0,38437.04206
andhra,30-06-2014,51841193.6,14.04,85021.31871,78842.24298,10786.79545,40564.78044,0.0,0.0,51351.57588
andhra,31-07-2014,51903839.68,14.07,76779.94164,79105.26046,11240.36436,35284.92089,0.0,0.0,46525.28525
andhra,31-08-2014,51967529.81,14.1,67590.23889,70833.09415,10491.18611,29260.19612,0.0,0.0,39751.38223
andhra,30-09-2014,52037196.6,14.15,52770.54902,51855.22429,6943.665149,30697.45216,0.0,0.0,37641.11731
andhra,31-10-2014,52082186.77,14.18,84184.17874,90873.79015,11074.61709,41712.91153,0.0,0.0,52787.52862
andhra,30-11-2014,52130096.42,14.22,72022.03819,74360.03588,9393.073547,37572.79172,0.0,0.0,46965.86527
andhra,31-12-2014,52230429.78,14.25,77862.01091,81165.68468,11112.97878,39312.66921,0.0,0.0,50425.648
andhra,31-01-2015,52347014.07,14.28,58764.32118,59097.43826,10860.16326,23861.71786,0.0,0.0,34721.88112
andhra,28-02-2015,52454127.61,14.3,49317.04583,50090.26955,6708.61303,21345.38264,0.0,0.0,28053.99567
andhra,31-03-2015,52505969.28,14.34,82010.61098,81565.64834,17618.58641,36579.44435,0.0,0.0,54198.03076
andhra,30-04-2015,52604924.6,14.37,58471.25727,56358.94608,14339.68604,24475.05398,0.0,0.0,38814.74002
andhra,31-05-2015,52654870.47,14.39,60490.83331,64692.01713,8629.810131,32636.69892,0.0,0.0,41266.50905
andhra,30-06-2015,52772118.03,14.44,62088.1673,56793.31224,15160.22788,31498.72229,0.0,0.0,46658.95017
andhra,31-07-2015,52839903.02,14.49,82980.15498,79407.21308,11145.30283,44235.74863,0.0,0.0,55381.05146
andhra,31-08-2015,52892046.91,14.52,54561.37431,50243.43649,9701.572101,30723.15171,0.0,0.0,40424.72381
andhra,30-09-2015,52961044.19,14.55,68478.18337,62341.05928,16004.52251,35613.76475,0.0,0.0,51618.28726
andhra,31-10-2015,53029347.28,14.6,47102.50827,51033.00464,11534.96309,21236.05887,0.0,0.0,32771.02197
andhra,30-11-2015,53088092.6,14.66,59643.69854,64977.57429,11882.53647,34541.17181,0.0,0.0,46423.70828
andhra,31-12-2015,53190938.26,14.69,80742.22588,76144.9846,4592.978767,37109.19253,0.0,0.0,41702.1713
andhra,31-01-2016,53269227.25,14.74,56239.30335,53385.07234,9585.969501,24997.38466,0.0,0.0,34583.35416
andhra,29-02-2016,53394967.13,14.79,57195.94654,56372.89046,6779.846869,25795.34564,0.0,0.0,32575.19251
andhra,31-03-2016,53509144.46,14.85,80935.41445,73723.2638,4758.683491,35775.77412,0.0,0.0,40534.45761
andhra,30-04-2016,53559580.07,14.88,64145.81365,67769.37238,6197.736049,38033.84086,0.0,0.0,44231.57691
andhra,31-05-2016,53606504.45,14.92,50462.1505,52943.65975,8671.748542,28835.7446,0.0,0.0,37507.49315
andhra,30-06-2016,53719414.71,14.95,61919.28431,58385.79925,13997.5148,26295.88078,0.0,0.0,40293.39559
andhra,31-07-2016,53785506.79,14.98,59325.50284,55991.50629,12821.72657,26062.38892,0.0,0.0,38884.11549
andhra,31-08-2016,53843894.05,15.01,52398.43118,57172.61617,12508.91554,25908.52205,0.0,0.0,38417.4376
andhra,30-09-2016,53905146.56,15.04,84332.43285,78160.20584,9526.348816,49835.01266,0.0,0.0,59361.36147
andhra,31-10-2016,53996817.54,15.08,97712.12522,107436.6945,7852.316659,50259.24423,0.0,0.0,58111.56089
andhra,30-11-2016,54121542.25,15.12,85035.79811,88493.31802,4672.842008,47998.08848,0.0,0.0,52670.93049
andhra,31-12-2016,54209702.67,15.17,88474.65512,79675.68224,18174.85282,39607.08318,0.0,0.0,57781.936
andhra,31-01-2017,54271567.78,15.23,85701.18684,87036.02193,17132.21531,36136.73756,0.0,0.0,53268.95287
andhra,28-02-2017,54348690.93,15.27,64228.59177,69089.09113,4033.582269,37255.73642,0.0,0.0,41289.31869
andhra,31-03-2017,54411949.08,15.31,72732.76449,77745.73576,15539.3496,33086.28512,0.0,0.0,48625.63472
andhra,30-04-2017,54467915.47,15.37,72290.54034,72589.99173,8863.377241,34038.22444,0.0,0.0,42901.60169
andhra,31-05-2017,54561299.3,15.41,99736.93403,91286.60514,10707.69061,48840.64786,0.0,0.0,59548.33847
andhra,30-06-2017,54687873.96,15.43,92013.13233,92034.17041,10218.96531,48728.12746,0.0,0.0,58947.09276
andhra,31-07-2017,54813875.39,15.49,62354.99512,61088.68157,8023.10267,27849.3065,0.0,0.0,35872.40917
andhra,31-08-2017,54945545.47,15.52,89489.89925,85746.18416,6673.304434,38613.96155,0.0,0.0,45287.26598
andhra,30-09-2017,55020116.74,15.55,62743.92298,63373.6056,15573.68716,36065.30631,0.0,0.0,51638.99347
andhra,31-10-2017,55068740.67,15.6,99691.43042,101521.5585,5110.193568,43294.74574,0.0,0.0,48404.93931
andhra,30-11-2017,55143582.97,15.65,77824.38121,80105.93597,8900.13625,31384.2601,0.0,0.0,40284.39635
andhra,31-12-2017,55263834.02,15.71,70628.67774,69374.80613,13543.57829,32408.51402,0.0,0.0,45952.09232
andhra,31-01-2018,55371453.76,15.77,76091.32823,72963.61867,13715.11881,35658.0735,0.0,0.0,49373.19231
andhra,28-02-2018,55477420.24,15.8,53224.88399,52406.80797,10886.29065,28564.81226,0.0,0.0,39451.1029
andhra,31-03-2018,55601988.35,15.85,61519.24631,58265.46837,12092.30498,32270.8797,0.0,0.0,44363.18468
andhra,30-04-2018,55683385.58,15.91,101600.3875,100378.933,8427.099433,60197.58001,0.0,0.0,68624.67944
andhra,31-05-2018,55734078.79,15.96,57262.04924,60942.15317,2910.325849,30471.98267,0.0,0.0,33382.30852
andhra,30-06-2018,55831709.53,16.01,97885.84874,105260.2233,7045.894419,49686.99986,0.0,0.0,56732.89428
andhra,31-07-2018,55953410.78,16.06,74459.41604,76245.34325,17989.00277,40100.9547,0.0,0.0,58089.95747
andhra,31-08-2018,56030922.04,16.09,93858.29552,101869.1886,11983.53065,37725.01516,0.0,0.0,49708.54581
andhra,30-09-2018,56166833.74,16.12,72081.94632,75211.74293,15314.85997,42776.81463,0.0,0.0,58091.6746
andhra,31-10-2018,56280719.08,16.17,72064.91173,74986.5936,11122.88967,32594.2823,0.0,0.0,43717.17197
andhra,30-11-2018,56407465.88,16.22,81384.45018,86112.87062,19190.03809,46165.61007,0.0,0.0,65355.64816
andhra,31-12-2018,56487088.0,16.28,78105.81841,81836.43896,11305.17966,44012.76714,0.0,0.0,55317.94679
andhra,31-01-2019,56597565.15,16.34,57645.99984,52783.15969,4490.623699,27887.3367,0.0,0.0,32377.9604
andhra,28-02-2019,56679995.57,16.4,76517.81388,83972.75644,13333.06134,35889.20511,0.0,0.0,49222.26644
andhra,31-03-2019,56742104.76,16.44,104089.6074,97578.79016,19024.26104,60744.12056,0.0,0.0,79768.3816
andhra,30-04-2019,56825021.06,16.5,111795.6865,120818.3254,14899.31022,57925.03095,0.0,0.0,72824.34117
andhra,31-05-2019,56914290.62,16.57,79004.84562,78706.77197,5523.306874,37665.19763,0.0,0.0,43188.50451
andhra,30-06-2019,56997342.43,16.6,112867.8544,112076.6481,26637.70334,54104.17814,0.0,0.0,80741.88148
andhra,31-07-2019,57117136.18,16.63,102748.8608,95903.35692,12270.49195,48714.24759,0.0,0.0,60984.73954
andhra,31-08-2019,57178877.83,16.67,109867.4774,108477.0339,22517.60021,47352.48329,0.0,0.0,69870.0835
andhra,30-09-2019,57313740.56,16.71,77003.32978,79213.89365,6091.575489,38957.66025,0.0,0.0,45049.23574
andhra,31-10-2019,57452299.93,16.75,109010.9561,102781.2247,24520.36816,61500.25098,0.0,0.0,86020.61913
andhra,30-11-2019,57554637.45,16.8,64628.39334,68764.39284,3402.741576,32224.40899,0.0,0.0,35627.15057
andhra,31-12-2019,57654313.58,16.87,79684.96395,86128.4526,9497.899421,43165.18987,0.0,0.0,52663.08929
