Country,Country_code,State,State_code,State_type,Date,Category,Subcategory,Variable,Unit,Value
India,IND,ani,AN,Union territory,1/1/2019,Electricity generation,Fuel,Bioenergy,GWh,0.0
India,IND,ani,AN,Union territory,1/1/2019,Electricity generation,Fuel,Coal,GWh,0.0
India,IND,ani,AN,Union territory,1/1/2019,Electricity generation,Fuel,Gas,GWh,0.0
India,IND,ani,AN,Union territory,1/1/2019,Electricity generation,Fuel,Hydro,GWh,1.12
India,IND,ani,AN,Union territory,1/1/2019,Electricity generation,Fuel,Nuclear,GWh,0.0
India,IND,ani,AN,Union territory,1/1/2019,Electricity generation,Fuel,Other Fossil,GWh,6.88
India,IND,ani,AN,Union territory,1/1/2019,Electricity generation,Fuel,Other Renewables,GWh,0.0
India,IND,ani,AN,Union territory,1/1/2019,Electricity generation,Fuel,Solar,GWh,1.44
India,IND,ani,AN,Union territory,1/1/2019,Electricity generation,Fuel,Wind,GWh,0.0
India,IND,ani,AN,Union territory,1/1/2019,Electricity generation,Total,Total Generation,GWh,9.44
India,IND,ani,AN,Union territory,1/2/2019,Electricity generation,Fuel,Bioenergy,GWh,0.0
India,IND,ani,AN,Union territory,1/2/2019,Electricity generation,Fuel,Coal,GWh,0.0
India,IND,ani,AN,Union territory,1/2/2019,Electricity generation,Fuel,Gas,GWh,0.0
India,IND,ani,AN,Union territory,1/2/2019,Electricity generation,Fuel,Hydro,GWh,0.99
India,IND,ani,AN,Union territory,1/2/2019,Electricity generation,Fuel,Nuclear,GWh,0.0
India,IND,ani,AN,Union territory,1/2/2019,Electricity generation,Fuel,Other Fossil,GWh,6.94
India,IND,ani,AN,Union territory,1/2/2019,Electricity generation,Fuel,Other Renewables,GWh,0.0
India,IND,ani,AN,Union territory,1/2/2019,Electricity generation,Fuel,Solar,GWh,1.72
India,IND,ani,AN,Union territory,1/2/2019,Electricity generation,Fuel,Wind,GWh,0.0
India,IND,ani,AN,Union territory,1/2/2019,Electricity generation,Total,Total Generation,GWh,9.65
India,IND,ani,AN,Union territory,1/3/2019,Electricity generation,Fuel,Bioenergy,GWh,0.0
India,IND,ani,AN,Union territory,1/3/2019,Electricity generation,Fuel,Coal,GWh,0.0
India,IND,ani,AN,Union territory,1/3/2019,Electricity generation,Fuel,Gas,GWh,0.0
India,IND,ani,AN,Union territory,1/3/2019,Electricity generation,Fuel,Hydro,GWh,1.07
India,IND,ani,AN,Union territory,1/3/2019,Electricity generation,Fuel,Nuclear,GWh,0.0
India,IND,ani,AN,Union territory,1/3/2019,Electricity generation,Fuel,Other Fossil,GWh,6.93
India,IND,ani,AN,Union territory,1/3/2019,Electricity generation,Fuel,Other Renewables,GWh,0.0
India,IND,ani,AN,Union territory,1/3/2019,Electricity generation,Fuel,Solar,GWh,2.05
India,IND,ani,AN,Union territory,1/3/2019,Electricity generation,Fuel,Wind,GWh,0.0
India,IND,ani,AN,Union territory,1/3/2019,Electricity generation,Total,Total Generation,GWh,10.05
India,IND,ani,AN,Union territory,1/4/2019,Electricity generation,Fuel,Bioenergy,GWh,0.0
India,IND,ani,AN,Union territory,1/4/2019,Electricity generation,Fuel,Coal,GWh,0.0
India,IND,ani,AN,Union territory,1/4/2019,Electricity generation,Fuel,Gas,GWh,0.0
India,IND,ani,AN,Union territory,1/4/2019,Electricity generation,Fuel,Hydro,GWh,0.63
India,IND,ani,AN,Union territory,1/4/2019,Electricity generation,Fuel,Nuclear,GWh,0.0
India,IND,ani,AN,Union territory,1/4/2019,Electricity generation,Fuel,Other Fossil,GWh,8.73
India,IND,ani,AN,Union territory,1/4/2019,Electricity generation,Fuel,Other Renewables,GWh,0.0
India,IND,ani,AN,Union territory,1/4/2019,Electricity generation,Fuel,Solar,GWh,1.94
India,IND,ani,AN,Union territory,1/4/2019,Electricity generation,Fuel,Wind,GWh,0.0
India,IND,ani,AN,Union territory,1/4/2019,Electricity generation,Total,Total Generation,GWh,11.3
India,IND,ani,AN,Union territory,1/5/2019,Electricity generation,Fuel,Bioenergy,GWh,0.0
India,IND,ani,AN,Union territory,1/5/2019,Electricity generation,Fuel,Coal,GWh,0.0
India,IND,ani,AN,Union territory,1/5/2019,Electricity generation,Fuel,Gas,GWh,0.0
India,IND,ani,AN,Union territory,1/5/2019,Electricity generation,Fuel,Hydro,GWh,0.13
India,IND,ani,AN,Union territory,1/5/2019,Electricity generation,Fuel,Nuclear,GWh,0.0
India,IND,ani,AN,Union territory,1/5/2019,Electricity generation,Fuel,Other Fossil,GWh,8.26
India,IND,ani,AN,Union territory,1/5/2019,Electricity generation,Fuel,Other Renewables,GWh,0.0
India,IND,ani,AN,Union territory,1/5/2019,Electricity generation,Fuel,Solar,GWh,1.65
India,IND,ani,AN,Union territory,1/5/2019,Electricity generation,Fuel,Wind,GWh,0.0
India,IND,ani,AN,Union territory,1/5/2019,Electricity generation,Total,Total Generation,GWh,10.04
India,IND,ani,AN,Union territory,1/6/2019,Electricity generation,Fuel,Bioenergy,GWh,0.0
India,IND,ani,AN,Union territory,1/6/2019,Electricity generation,Fuel,Coal,GWh,0.0
India,IND,ani,AN,Union territory,1/6/2019,Electricity generation,Fuel,Gas,GWh,0.0
India,IND,ani,AN,Union territory,1/6/2019,Electricity generation,Fuel,Hydro,GWh,0.04
India,IND,ani,AN,Union territory,1/6/2019,Electricity generation,Fuel,Nuclear,GWh,0.0
India,IND,ani,AN,Union territory,1/6/2019,Electricity generation,Fuel,Other Fossil,GWh,7.0
